Strategy_Type,Annual_Return
Quantitative,10.597379203070812
Quantitative,1.6562480962254877
Quantitative,9.202100130981052
Quantitative,3.9802128410100748
Quantitative,8.086720498134591
Quantitative,9.971969154902498
Quantitative,14.395661320263955
Quantitative,11.298681871907698
Quantitative,5.723095619298839
Quantitative,15.328945132289512
Quantitative,5.90536637231113
Quantitative,15.331529519848974
Quantitative,9.083912612940884
Quantitative,10.538712469056026
Quantitative,12.865360316095739
Quantitative,6.216791943079999
Quantitative,4.05852690456278
Quantitative,6.837111416971842
Quantitative,3.7624937463734014
Quantitative,-0.7412628775857737
Quantitative,12.04035785253844
Quantitative,14.198977085097134
Quantitative,10.80317927565032
Quantitative,5.285914836783314
Quantitative,5.579252643744653
Quantitative,14.599139121305884
Quantitative,15.227699991425247
Quantitative,8.259086575938872
Quantitative,16.14339712497899
Quantitative,6.169998779404134
Quantitative,7.878789555449512
Quantitative,3.867172931745065
Quantitative,0.22300820513492514
Quantitative,5.990648016828326
Quantitative,4.955534876404954
Quantitative,7.66921358052732
Quantitative,13.760920481393391
Quantitative,7.963509859514792
Quantitative,11.47296078968343
Quantitative,6.57148160103417
Quantitative,11.192828722507464
Quantitative,13.563097216881765
Quantitative,9.574049703686065
Quantitative,16.829689389499308
Quantitative,12.668119210866495
Quantitative,7.673180155389317
Quantitative,10.519784356471597
Quantitative,-3.3797001858947855
Quantitative,4.6550091514509315
Quantitative,16.740609169725182
Quantitative,13.882262300659889
Quantitative,16.64189878393762
Quantitative,12.199036817229144
Quantitative,7.538271425166155
Quantitative,8.95601170109316
Quantitative,8.543280574268008
Quantitative,6.384895677537729
Quantitative,11.516472064228385
Quantitative,6.159611321339969
Quantitative,8.79278402540432
Quantitative,11.251087501532739
Quantitative,3.653550274939355
Quantitative,3.857240411368821
Quantitative,13.102249439036726
Quantitative,2.3910419352660535
Quantitative,5.214079608242871
Quantitative,11.719609134861187
Quantitative,7.459641811859864
Quantitative,5.262212357471865
Quantitative,-0.3426752083174023
Quantitative,13.78047035083463
Quantitative,7.4329783094985755
Quantitative,7.919561995999865
Quantitative,9.749387109310813
Quantitative,15.444549030346959
Quantitative,8.968260084396608
Quantitative,6.272455351867969
Quantitative,9.53487395557952
Quantitative,14.483833749815629
Quantitative,2.80383749645683
Quantitative,7.037806972795004
Quantitative,1.2699705268600159
Quantitative,8.406973436451333
Quantitative,16.296129614398364
Quantitative,4.15113254046199
Quantitative,8.131970971805172
Quantitative,10.607982637119584
Quantitative,10.095520537999263
Quantitative,14.470484817100644
Quantitative,5.807004492625548
Quantitative,4.840172164851844
Quantitative,4.350356005287547
Quantitative,8.912459554187322
Quantitative,6.335419605948433
Quantitative,7.040154641393502
Quantitative,3.536245121933712
Quantitative,20.325544397181467
Quantitative,8.663874746836369
Quantitative,7.0133698756602225
Quantitative,21.32572100030007
Quantitative,10.22250711732914
Quantitative,5.521895902355308
Quantitative,10.755865579561924
Quantitative,13.441328865375537
Quantitative,9.04686943427462
Quantitative,2.8448907934551535
Quantitative,3.131373504730078
Quantitative,3.5682176810373925
Quantitative,15.780308420509598
Quantitative,14.993284322756598
Quantitative,1.8615439116525803
Quantitative,-1.1554571392279467
Quantitative,2.291461810869187
