Catalyst,Reaction_Time
Palladium,47.483570765056164
Palladium,44.308678494144075
Palladium,48.23844269050346
Palladium,52.61514928204013
Palladium,43.82923312638332
Palladium,43.8293152152541
Palladium,52.896064077536955
Palladium,48.837173645764544
Palladium,42.65262807032524
Palladium,47.712800217929825
Palladium,42.68291153593769
Palladium,42.671351232148716
Palladium,46.20981135783017
Palladium,35.43359877671101
Palladium,36.375410837434835
Palladium,42.188562353795135
Palladium,39.93584439832788
Palladium,46.57123666297637
Palladium,40.45987962239394
Palladium,37.93848149332354
Palladium,52.32824384460777
Palladium,43.87111849756732
Palladium,45.337641023439616
Palladium,37.87625906893272
Palladium,42.27808637737409
Palladium,45.554612948549334
Palladium,39.24503211288849
Palladium,46.87849009172836
Palladium,41.99680655040598
Palladium,43.54153125103362
Palladium,41.991466938853016
Palladium,54.26139092254469
Palladium,44.93251387631033
Palladium,39.7114453552205
Palladium,49.11272456051594
Palladium,38.89578175014489
Palladium,46.04431797502378
Palladium,35.201649380601125
Palladium,38.359069755507846
Palladium,45.984306179345616
Palladium,48.69233289997705
Palladium,45.85684140594985
Palladium,44.4217585880588
Palladium,43.494481522053555
Palladium,37.60739004816286
Palladium,41.40077895802646
Palladium,42.696806145201066
Palladium,50.285611131094576
Palladium,46.718091447842305
Palladium,36.18479922318633
Palladium,46.620419846973974
Palladium,43.07458859791842
Palladium,41.61538999847021
Palladium,48.058381444204336
Palladium,50.154997612479754
Palladium,49.65640059558099
Palladium,40.80391238388681
Palladium,43.45393812074393
Palladium,46.65631715701782
Palladium,49.877725635611796
Palladium,42.60412881077355
Palladium,44.07170511668092
Palladium,39.468325129969855
Palladium,39.01896687959665
Palladium,49.06262911197099
Palladium,51.78120014285412
Palladium,44.63994939209833
Palladium,50.01766448946012
Palladium,46.808180125238174
Palladium,41.774401226974376
Palladium,46.80697802754207
Palladium,52.690182832329846
Palladium,44.82086980445024
Palladium,52.82321827907003
Palladium,31.901274479551276
Palladium,49.10951252187612
Palladium,45.435235341190854
Palladium,43.50496324767066
Palladium,45.458803882677515
Palladium,35.06215542699554
Palladium,43.90164056081244
Palladium,46.78556285755873
Palladium,52.38947022370758
Palladium,42.40864890863176
Palladium,40.95753198553406
Palladium,42.491214782077314
Palladium,49.57701058851037
Palladium,46.64375554829842
Palladium,42.351198981164806
Palladium,47.56633716556678
Palladium,45.4853877467402
Palladium,49.84322495266444
Palladium,41.48973453061324
Palladium,43.36168926701116
Palladium,43.03945923433921
